Status,Course_Name,Scholarship_Label,Tuition_Label,Debtor_Label,Gender_Label,Approved_2nd_Sem_Bin,Grade_2nd_Sem_Bin,Age_Group,Is_Dropout
Graduate,Management (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,31+,0
Dropout,Equinculture,Tidak Beasiswa,Belum Lunas,Menunggak,Perempuan,3-4,11-12,15-20,1
Dropout,Journalism & Communication,Tidak Beasiswa,Lunas,Menunggak,Perempuan,0,0,15-20,1
Graduate,Management,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,21-23,0
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,15+,21-23,0
Dropout,Journalism & Communication,Tidak Beasiswa,Belum Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,1
Dropout,Management (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,24-30,1
Enrolled,Management (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,15+,24-30,0
Graduate,Social Service,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,21-23,0
Graduate,Social Service (Evening),Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,21-23,0
Graduate,Social Service,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Graduate,Tourism,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,24-30,0
Enrolled,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Enrolled,Journalism & Communication,Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,11-12,15-20,0
Graduate,Equinculture,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,15-20,0
Dropout,Management (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,24-30,1
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Dropout,Tourism,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,31+,1
Dropout,Equinculture,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,24-30,1
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,15+,15-20,0
Enrolled,Animation & Multimedia Design,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,15-20,0
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Graduate,Social Service,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,21-23,0
Enrolled,Animation & Multimedia Design,Beasiswa,Lunas,Tidak Menunggak,Laki-laki,0,0,15-20,0
Enrolled,Communication Design,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,1-2,1-10,15-20,0
Enrolled,Communication Design,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,0,0,24-30,0
Dropout,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,5-6,11-12,24-30,1
Graduate,Animation & Multimedia Design,Beasiswa,Lunas,Tidak Menunggak,Laki-laki,0,0,15-20,0
Graduate,Agronomy,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,5-6,13-14,21-23,0
Dropout,Management,Tidak Beasiswa,Lunas,Menunggak,Laki-laki,3-4,11-12,15-20,1
Enrolled,Tourism,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,5-6,11-12,24-30,0
Enrolled,Management,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,0,0,15-20,0
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,7+,13-14,24-30,0
Dropout,Animation & Multimedia Design,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,0,0,15-20,1
Dropout,Tourism,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,1-2,11-12,15-20,1
Graduate,Journalism & Communication,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,3-4,13-14,15-20,0
Dropout,Management,Tidak Beasiswa,Lunas,Menunggak,Laki-laki,3-4,11-12,15-20,1
Dropout,Tourism,Beasiswa,Lunas,Tidak Menunggak,Laki-laki,1-2,11-12,21-23,1
Graduate,Journalism & Communication,Beasiswa,Lunas,Menunggak,Laki-laki,5-6,13-14,15-20,0
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Laki-laki,7+,15+,21-23,0
Graduate,Social Service (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,5-6,11-12,31+,0
Dropout,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,5-6,13-14,15-20,1
Dropout,Management (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,0,0,31+,1
Dropout,Agronomy,Tidak Beasiswa,Lunas,Menunggak,Laki-laki,7+,13-14,24-30,1
Enrolled,Tourism,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,3-4,11-12,15-20,0
Graduate,Social Service (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,31+,0
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,21-23,0
Graduate,Advertising & Marketing Mgmt,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,24-30,0
Graduate,Communication Design,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,5-6,11-12,15-20,0
Enrolled,Management,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,5-6,13-14,21-23,0
Enrolled,Informatics Engineering,Tidak Beasiswa,Lunas,Menunggak,Laki-laki,0,0,15-20,0
Dropout,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,0,0,24-30,1
Graduate,Journalism & Communication,Tidak Beasiswa,Belum Lunas,Tidak Menunggak,Perempuan,5-6,13-14,21-23,0
Dropout,Equinculture,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,24-30,1
Dropout,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,31+,1
Graduate,Social Service (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,31+,0
Enrolled,Informatics Engineering,Tidak Beasiswa,Lunas,Tidak Menunggak,Laki-laki,3-4,13-14,15-20,0
Graduate,Journalism & Communication,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,15+,15-20,0
Enrolled,Veterinary Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Dropout,Nursing,Tidak Beasiswa,Belum Lunas,Menunggak,Perempuan,0,0,15-20,1
Dropout,Veterinary Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,21-23,1
Graduate,Animation & Multimedia Design,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,15-20,0
Dropout,Social Service (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,31+,1
Graduate,Agronomy,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,15+,31+,0
Dropout,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,15-20,1
Graduate,Communication Design,Tidak Beasiswa,Lunas,Menunggak,Perempuan,7+,13-14,15-20,0
Dropout,Social Service,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,15-20,1
Dropout,Veterinary Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,13-14,15-20,1
Dropout,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,1
Enrolled,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,13-14,15-20,0
Graduate,Social Service,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,15-20,0
Enrolled,Management,Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,11-12,15-20,0
Graduate,Veterinary Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Graduate,Journalism & Communication,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Dropout,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,1
Enrolled,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Enrolled,Social Service,Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,11-12,15-20,0
Enrolled,Management,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,11-12,15-20,0
Graduate,Veterinary Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Graduate,Management,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Dropout,Tourism,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,1-2,11-12,21-23,1
Graduate,Management,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,11-12,15-20,0
Dropout,Animation & Multimedia Design,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,15-20,1
Graduate,Advertising & Marketing Mgmt,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,15-20,0
Graduate,Veterinary Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Dropout,Oral Hygiene,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,15-20,1
Graduate,Veterinary Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Enrolled,Basic Education,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Graduate,Social Service,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,15+,15-20,0
Dropout,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,1
Graduate,Communication Design,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Graduate,Management,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,15-20,0
Dropout,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,15-20,1
Graduate,Social Service,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,11-12,15-20,0
Dropout,Advertising & Marketing Mgmt,Beasiswa,Belum Lunas,Menunggak,Perempuan,3-4,13-14,15-20,1
Graduate,Advertising & Marketing Mgmt,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,11-12,15-20,0
Graduate,Journalism & Communication,Beasiswa,Lunas,Menunggak,Perempuan,5-6,15+,15-20,0
Enrolled,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,15+,15-20,0
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Graduate,Journalism & Communication,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Enrolled,Management,Tidak Beasiswa,Belum Lunas,Menunggak,Perempuan,0,0,21-23,0
Graduate,Social Service,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Graduate,Basic Education,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Dropout,Tourism,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,15-20,1
Dropout,Tourism,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,11-12,15-20,1
Graduate,Management,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,15-20,0
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,15+,15-20,0
Enrolled,Animation & Multimedia Design,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,15-20,0
Graduate,Veterinary Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Enrolled,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Graduate,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Dropout,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,1-10,21-23,1
Dropout,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,11-12,15-20,1
Graduate,Management,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Graduate,Social Service,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Graduate,Social Service,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Graduate,Social Service (Evening),Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,24-30,0
Dropout,Advertising & Marketing Mgmt,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,1
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,15+,15-20,0
Dropout,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,11-12,21-23,1
Graduate,Advertising & Marketing Mgmt,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,15-20,0
Graduate,Journalism & Communication,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Enrolled,Agronomy,Tidak Beasiswa,Lunas,Menunggak,Perempuan,0,0,31+,0
Graduate,Social Service,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,11-12,15-20,0
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,15+,24-30,0
Dropout,Social Service,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,1-2,11-12,21-23,1
Enrolled,Veterinary Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,11-12,24-30,0
Graduate,Oral Hygiene,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Graduate,Social Service (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,24-30,0
Dropout,Tourism,Tidak Beasiswa,Belum Lunas,Menunggak,Perempuan,5-6,13-14,15-20,1
Enrolled,Advertising & Marketing Mgmt,Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,13-14,15-20,0
Graduate,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,24-30,0
Dropout,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,11-12,15-20,1
Dropout,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,1
Dropout,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,31+,1
Graduate,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,31+,0
Enrolled,Management (Evening),Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,24-30,0
Dropout,Journalism & Communication,Tidak Beasiswa,Belum Lunas,Menunggak,Perempuan,0,0,24-30,1
Dropout,Communication Design,Tidak Beasiswa,Belum Lunas,Tidak Menunggak,Perempuan,0,0,15-20,1
Dropout,Tourism,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,15-20,1
Dropout,Management,Tidak Beasiswa,Belum Lunas,Menunggak,Perempuan,3-4,11-12,15-20,1
Enrolled,Social Service,Tidak Beasiswa,Belum Lunas,Menunggak,Perempuan,3-4,1-10,21-23,0
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Dropout,Veterinary Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,24-30,1
Graduate,Communication Design,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Graduate,Tourism,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,21-23,0
Enrolled,Social Service (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,1-2,1-10,21-23,0
Dropout,Management,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,24-30,1
Dropout,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,21-23,1
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Dropout,Management (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,24-30,1
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Dropout,Informatics Engineering,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,31+,1
Graduate,Basic Education,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,15+,15-20,0
Enrolled,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,11-12,31+,0
Graduate,Veterinary Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,15+,15-20,0
Graduate,Social Service,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Graduate,Social Service,Tidak Beasiswa,Lunas,Menunggak,Perempuan,5-6,11-12,21-23,0
Graduate,Social Service,Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,11-12,15-20,0
Graduate,Social Service,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,11-12,15-20,0
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Graduate,Journalism & Communication,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,15-20,0
Graduate,Veterinary Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Dropout,Tourism,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,31+,1
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Graduate,Equinculture,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,15-20,0
Dropout,Management (Evening),Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,24-30,1
Graduate,Journalism & Communication,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,21-23,0
Enrolled,Oral Hygiene,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,24-30,0
Graduate,Management,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Dropout,Social Service (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,24-30,1
Dropout,Social Service (Evening),Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,24-30,1
Dropout,Veterinary Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,1-2,13-14,21-23,1
Graduate,Management,Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,13-14,15-20,0
Graduate,Basic Education,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,15-20,0
Dropout,Tourism,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,1-2,13-14,15-20,1
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,15+,15-20,0
Graduate,Management (Evening),Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,15+,31+,0
Graduate,Management,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,31+,0
Graduate,Social Service,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Dropout,Advertising & Marketing Mgmt,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,24-30,1
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,11-12,15-20,0
Graduate,Tourism,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,3-4,13-14,15-20,0
Dropout,Tourism,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,0,0,31+,1
Graduate,Advertising & Marketing Mgmt,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Graduate,Tourism,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,21-23,0
Dropout,Management,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,1-2,15+,21-23,1
Graduate,Social Service,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,21-23,0
Graduate,Basic Education,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Graduate,Social Service,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,11-12,15-20,0
Dropout,Equinculture,Tidak Beasiswa,Belum Lunas,Tidak Menunggak,Perempuan,3-4,15+,24-30,1
Dropout,Veterinary Nursing,Tidak Beasiswa,Belum Lunas,Menunggak,Perempuan,3-4,11-12,24-30,1
Enrolled,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,11-12,15-20,0
Enrolled,Animation & Multimedia Design,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,24-30,0
Graduate,Management,Beasiswa,Lunas,Tidak Menunggak,Perempuan,5-6,13-14,15-20,0
Dropout,Management,Tidak Beasiswa,Belum Lunas,Tidak Menunggak,Perempuan,0,0,24-30,1
Graduate,Management,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Graduate,Nursing,Tidak Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,21-23,0
Graduate,Nursing,Beasiswa,Lunas,Tidak Menunggak,Perempuan,7+,13-14,15-20,0
Dropout,Agronomy,Tidak Beasiswa,Belum Lunas,Menunggak,Perempuan,3-4,11-12,24-30,1
